iter	Passed	Remaining
0	154	153962
1	154	77316
2	155	51675
3	156	38865
4	156	31162
5	157	26044
6	158	22433
7	158	19693
8	159	17552
9	159	15836
10	160	14434
11	161	13261
12	161	12269
13	162	11419
14	163	10703
15	163	10068
16	164	9505
17	165	9002
18	165	8547
19	166	8139
20	166	7770
21	167	7433
22	168	7153
23	169	6877
24	169	6624
25	170	6386
26	171	6174
27	172	5978
28	173	5793
29	174	5632
30	174	5463
31	176	5324
32	176	5180
33	177	5045
34	178	4915
35	179	4800
36	180	4689
37	181	4586
38	181	4483
39	182	4383
40	183	4288
41	184	4211
42	185	4131
43	186	4049
44	187	3971
45	187	3895
46	188	3821
47	189	3764
48	190	3697
49	191	3632
50	191	3570
51	192	3511
52	193	3453
53	193	3397
54	194	3346
55	195	3296
56	196	3246
57	196	3198
58	197	3150
59	198	3104
60	198	3060
61	199	3017
62	200	2977
63	200	2937
64	201	2898
65	202	2861
66	202	2825
67	203	2789
68	204	2754
69	204	2722
70	205	2691
71	206	2658
72	206	2627
73	207	2597
74	208	2567
75	208	2539
76	209	2511
77	210	2486
78	211	2465
79	212	2445
80	213	2420
81	213	2395
82	214	2367
83	214	2344
84	215	2322
85	216	2301
86	217	2278
87	217	2257
88	218	2235
89	219	2214
90	219	2193
91	220	2174
92	221	2157
93	222	2140
94	222	2122
95	223	2104
96	224	2085
97	224	2068
98	225	2051
99	226	2036
100	226	2019
101	227	2003
102	228	1987
103	228	1971
104	229	1956
105	230	1941
106	231	1930
107	232	1916
108	232	1902
109	233	1889
110	234	1875
111	234	1861
112	235	1847
113	236	1835
114	237	1827
115	238	1814
116	238	1800
117	239	1789
118	240	1777
119	240	1764
120	241	1754
121	242	1744
122	243	1733
123	243	1722
124	244	1711
125	245	1699
126	245	1688
127	246	1677
128	246	1667
129	247	1657
130	248	1647
131	249	1638
132	249	1628
133	250	1619
134	251	1610
135	252	1602
136	252	1593
137	253	1583
138	254	1574
139	254	1565
140	255	1556
141	255	1546
142	256	1538
143	257	1531
144	258	1523
145	259	1515
146	259	1506
147	260	1498
148	260	1490
149	261	1482
150	263	1478
151	264	1475
152	267	1478
153	268	1474
154	269	1468
155	270	1462
156	270	1454
157	271	1447
158	272	1439
159	273	1433
160	273	1425
161	274	1418
162	274	1411
163	275	1405
164	276	1398
165	277	1392
166	278	1387
167	278	1381
168	279	1375
169	280	1368
170	281	1362
171	281	1355
172	282	1349
173	282	1342
174	283	1337
175	284	1330
176	284	1324
177	285	1318
178	286	1312
179	286	1306
180	287	1301
181	288	1295
182	289	1290
183	289	1285
184	290	1279
185	291	1274
186	291	1268
187	292	1262
188	292	1257
189	293	1252
190	294	1248
191	295	1242
192	295	1237
193	296	1231
194	297	1226
195	297	1221
196	298	1215
197	298	1210
198	299	1205
199	300	1201
200	300	1196
201	301	1191
202	302	1186
203	302	1181
204	303	1176
205	304	1172
206	305	1168
207	305	1164
208	306	1160
209	307	1155
210	307	1151
211	308	1147
212	309	1143
213	310	1140
214	311	1136
215	311	1132
216	312	1127
217	313	1122
218	313	1118
219	314	1113
220	314	1109
221	315	1105
222	316	1101
223	316	1097
224	317	1092
225	317	1088
226	318	1084
227	319	1080
228	319	1076
229	320	1072
230	321	1068
231	321	1065
232	322	1061
233	322	1057
234	323	1053
235	324	1049
236	324	1045
237	325	1041
238	325	1037
239	326	1034
240	327	1030
241	327	1026
242	328	1022
243	328	1018
244	329	1015
245	329	1011
246	330	1008
247	331	1005
248	332	1001
249	332	998
250	333	995
251	334	991
252	334	988
253	335	985
254	336	982
255	336	978
256	337	975
257	338	972
258	338	969
259	339	965
260	339	962
261	340	960
262	341	956
263	342	953
264	342	950
265	343	947
266	343	943
267	344	941
268	345	938
269	345	935
270	346	932
271	347	929
272	347	926
273	348	923
274	349	920
275	349	917
276	350	914
277	351	912
278	351	909
279	352	906
280	353	903
281	353	900
282	354	897
283	354	894
284	355	891
285	356	889
286	356	886
287	357	883
288	358	881
289	358	878
290	359	875
291	360	873
292	360	870
293	361	868
294	362	865
295	363	863
296	363	860
297	364	858
298	365	855
299	365	853
300	366	850
301	367	848
302	367	846
303	368	844
304	369	841
305	369	839
306	370	836
307	371	833
308	371	831
309	373	830
310	373	828
311	374	826
312	375	823
313	375	821
314	376	818
315	377	816
316	377	814
317	378	811
318	379	809
319	379	807
320	380	804
321	381	802
322	381	800
323	382	797
324	383	795
325	383	793
326	384	790
327	384	788
328	385	786
329	386	784
330	386	782
331	387	780
332	388	777
333	389	775
334	389	773
335	390	771
336	390	768
337	391	766
338	392	764
339	392	762
340	393	760
341	394	758
342	394	755
343	395	753
344	395	751
345	396	749
346	397	747
347	397	745
348	398	743
349	399	741
350	399	739
351	400	737
352	401	735
353	401	733
354	402	731
355	403	729
356	404	727
357	404	725
358	405	723
359	405	721
360	406	719
361	407	717
362	407	715
363	408	713
364	409	711
365	409	709
366	410	707
367	410	705
368	411	703
369	412	701
370	412	700
371	413	698
372	414	696
373	415	694
374	415	692
375	416	690
376	416	688
377	417	686
378	417	684
379	418	682
380	419	681
381	419	679
382	420	677
383	421	675
384	421	673
385	422	671
386	422	669
387	423	667
388	423	665
389	424	664
390	425	662
391	425	660
392	426	658
393	427	657
394	427	655
395	428	653
396	428	651
397	429	649
398	430	648
399	430	646
400	431	644
401	432	642
402	432	641
403	433	639
404	434	637
405	434	635
406	435	634
407	436	632
408	436	631
409	437	629
410	438	627
411	438	626
412	439	624
413	439	622
414	440	621
415	441	619
416	442	618
417	442	616
418	443	615
419	444	613
420	444	611
421	445	610
422	446	609
423	447	607
424	447	605
425	448	604
426	449	602
427	449	601
428	450	599
429	451	598
430	452	596
431	452	595
432	453	593
433	454	592
434	454	590
435	455	589
436	456	587
437	456	586
438	457	584
439	458	582
440	458	581
441	459	579
442	459	578
443	460	576
444	461	575
445	462	573
446	462	572
447	463	570
448	463	569
449	464	567
450	465	566
451	465	564
452	466	562
453	466	561
